,accuracy,average_precision,f1,ppv,tpr,tnr,roc_auc
0,0.7777777777777778,0.8187853670460308,0.7999999999999999,0.7272727272727273,0.8888888888888888,0.6666666666666666,0.8436213991769547
1,0.7777777777777778,0.8961008877043266,0.7857142857142857,0.7586206896551724,0.8148148148148148,0.7407407407407407,0.8957475994513031
2,0.8518518518518519,0.9190425875912305,0.8461538461538461,0.88,0.8148148148148148,0.8888888888888888,0.897119341563786
3,0.7962962962962963,0.7980644105892905,0.7999999999999999,0.7857142857142857,0.8148148148148148,0.7777777777777778,0.8395061728395061
4,0.7962962962962963,0.7852317470250203,0.8070175438596491,0.7666666666666667,0.8518518518518519,0.7407407407407407,0.8010973936899862
5,0.8333333333333334,0.8695230247782926,0.830188679245283,0.8461538461538461,0.8148148148148148,0.8518518518518519,0.8834019204389575
6,0.7407407407407407,0.8080229284222704,0.75,0.7241379310344828,0.7777777777777778,0.7037037037037037,0.842249657064472
7,0.8076923076923077,0.8446353053206392,0.8275862068965517,0.75,0.9230769230769231,0.6923076923076923,0.8653846153846154
8,0.8076923076923077,0.8879166705510376,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8905325443786982
9,0.6730769230769231,0.835496998698356,0.7017543859649122,0.6451612903225806,0.7692307692307693,0.5769230769230769,0.8032544378698225
10,0.7592592592592593,0.8404799818637911,0.7636363636363638,0.75,0.7777777777777778,0.7407407407407407,0.8559670781893005
11,0.7777777777777778,0.8232895945570691,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8203017832647462
12,0.8333333333333334,0.8167187986911874,0.8363636363636364,0.8214285714285714,0.8518518518518519,0.8148148148148148,0.8888888888888888
13,0.8333333333333334,0.9591580197572267,0.830188679245283,0.8461538461538461,0.8148148148148148,0.8518518518518519,0.9561042524005486
14,0.6851851851851852,0.7490083505623941,0.7017543859649122,0.6666666666666666,0.7407407407407407,0.6296296296296297,0.7469135802469136
15,0.7962962962962963,0.9396968260568657,0.8135593220338982,0.75,0.8888888888888888,0.7037037037037037,0.9272976680384087
16,0.7222222222222222,0.7771885969235373,0.7368421052631577,0.7,0.7777777777777778,0.6666666666666666,0.803840877914952
17,0.8461538461538461,0.9340136168109949,0.8400000000000001,0.875,0.8076923076923077,0.8846153846153846,0.9142011834319526
18,0.7884615384615384,0.8052126677791949,0.8,0.7586206896551724,0.8461538461538461,0.7307692307692307,0.8505917159763313
19,0.7692307692307693,0.8825390378668525,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8727810650887574
20,0.7777777777777778,0.8740087079847723,0.7999999999999999,0.7272727272727273,0.8888888888888888,0.6666666666666666,0.8573388203017832
21,0.8333333333333334,0.9130664672273736,0.830188679245283,0.8461538461538461,0.8148148148148148,0.8518518518518519,0.9108367626886145
22,0.8703703703703703,0.9330236918282808,0.8679245283018868,0.8846153846153846,0.8518518518518519,0.8888888888888888,0.9300411522633745
23,0.8148148148148148,0.7778109708052479,0.8214285714285715,0.7931034482758621,0.8518518518518519,0.7777777777777778,0.803840877914952
24,0.6666666666666666,0.6505229619510169,0.6538461538461539,0.68,0.6296296296296297,0.7037037037037037,0.728395061728395
25,0.7592592592592593,0.8568861178890221,0.7796610169491525,0.71875,0.8518518518518519,0.6666666666666666,0.8463648834019205
26,0.7407407407407407,0.7518966729509782,0.75,0.7241379310344828,0.7777777777777778,0.7037037037037037,0.7818930041152263
27,0.8076923076923077,0.8908327093433747,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8949704142011834
28,0.8269230769230769,0.892239196908787,0.8235294117647058,0.84,0.8076923076923077,0.8461538461538461,0.900887573964497
29,0.9038461538461539,0.907082018865518,0.9056603773584906,0.8888888888888888,0.9230769230769231,0.8846153846153846,0.9112426035502958
30,0.7222222222222222,0.8196527338771622,0.7368421052631577,0.7,0.7777777777777778,0.6666666666666666,0.8196159122085047
31,0.8703703703703703,0.9402116922120733,0.8771929824561403,0.8333333333333334,0.9259259259259259,0.8148148148148148,0.9231824417009602
32,0.7777777777777778,0.8224391483187932,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8614540466392319
33,0.7962962962962963,0.908146911312454,0.819672131147541,0.7352941176470589,0.9259259259259259,0.6666666666666666,0.9094650205761318
34,0.7407407407407407,0.7732453214504142,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7887517146776406
35,0.7592592592592593,0.8023731944968973,0.7796610169491525,0.71875,0.8518518518518519,0.6666666666666666,0.813443072702332
36,0.7962962962962963,0.9021459676072305,0.7843137254901961,0.8333333333333334,0.7407407407407407,0.8518518518518519,0.887517146776406
37,0.8076923076923077,0.9006369016505169,0.8214285714285715,0.7666666666666667,0.8846153846153846,0.7307692307692307,0.9053254437869822
38,0.8846153846153846,0.9206453804517771,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8461538461538461,0.9319526627218935
39,0.8269230769230769,0.8854900413872979,0.8235294117647058,0.84,0.8076923076923077,0.8461538461538461,0.8831360946745561
40,0.7407407407407407,0.856851058999524,0.7812500000000001,0.6756756756756757,0.9259259259259259,0.5555555555555556,0.8491083676268861
41,0.8148148148148148,0.8921601615561592,0.8214285714285715,0.7931034482758621,0.8518518518518519,0.7777777777777778,0.9094650205761317
42,0.7962962962962963,0.7864298875361752,0.7843137254901961,0.8333333333333334,0.7407407407407407,0.8518518518518519,0.8395061728395062
43,0.7777777777777778,0.8716026470049785,0.7999999999999999,0.7272727272727273,0.8888888888888888,0.6666666666666666,0.8559670781893003
44,0.7962962962962963,0.8584950150339772,0.8070175438596491,0.7666666666666667,0.8518518518518519,0.7407407407407407,0.8724279835390947
45,0.8333333333333334,0.8512834838969021,0.830188679245283,0.8461538461538461,0.8148148148148148,0.8518518518518519,0.8902606310013718
46,0.7777777777777778,0.7913880682287782,0.7692307692307692,0.8,0.7407407407407407,0.8148148148148148,0.8079561042524006
47,0.8653846153846154,0.8838615966368878,0.8679245283018868,0.8518518518518519,0.8846153846153846,0.8461538461538461,0.8949704142011835
48,0.8269230769230769,0.900240862912371,0.8363636363636363,0.7931034482758621,0.8846153846153846,0.7692307692307693,0.9053254437869822
49,0.7692307692307693,0.8741316608590646,0.7777777777777779,0.75,0.8076923076923077,0.7307692307692307,0.8690828402366865
mean,0.7931196581196582,0.8535785333955883,0.7998186785046765,0.7791422484701194,0.8256695156695157,0.7605698005698006,0.8636505588428663
