,accuracy,average_precision,f1,ppv,tpr,tnr,roc_auc
0,0.8148148148148148,0.865504772720187,0.7916666666666667,0.9047619047619048,0.7037037037037037,0.9259259259259259,0.9060356652949245
1,0.8518518518518519,0.9264314271466247,0.8260869565217391,1.0,0.7037037037037037,1.0,0.888888888888889
2,0.7777777777777778,0.8610052381921542,0.76,0.8260869565217391,0.7037037037037037,0.8518518518518519,0.8545953360768175
3,0.6296296296296297,0.7526392320576896,0.5652173913043478,0.6842105263157895,0.48148148148148145,0.7777777777777778,0.7462277091906722
4,0.7222222222222222,0.7916499556145877,0.6666666666666667,0.8333333333333334,0.5555555555555556,0.8888888888888888,0.7956104252400549
5,0.7037037037037037,0.8098923649163643,0.6521739130434783,0.7894736842105263,0.5555555555555556,0.8518518518518519,0.821673525377229
6,0.7222222222222222,0.7808093340849891,0.7169811320754716,0.7307692307692307,0.7037037037037037,0.7407407407407407,0.803840877914952
7,0.6346153846153846,0.7833473931691728,0.5957446808510638,0.6666666666666666,0.5384615384615384,0.7307692307692307,0.7633136094674555
8,0.75,0.8128466047870946,0.7346938775510203,0.782608695652174,0.6923076923076923,0.8076923076923077,0.8431952662721893
9,0.7884615384615384,0.8528052615355692,0.7555555555555555,0.8947368421052632,0.6538461538461539,0.9230769230769231,0.8757396449704142
10,0.6851851851851852,0.7646501465604663,0.6792452830188679,0.6923076923076923,0.6666666666666666,0.7037037037037037,0.7832647462277091
11,0.7222222222222222,0.787155976732512,0.6808510638297872,0.8,0.5925925925925926,0.8518518518518519,0.8052126200274348
12,0.8333333333333334,0.947164144475094,0.8163265306122449,0.9090909090909091,0.7407407407407407,0.9259259259259259,0.9423868312757201
13,0.7222222222222222,0.8675523913872847,0.6666666666666667,0.8333333333333334,0.5555555555555556,0.8888888888888888,0.8641975308641975
14,0.7222222222222222,0.801830768008603,0.6511627906976744,0.875,0.5185185185185185,0.9259259259259259,0.8244170096021948
15,0.7407407407407407,0.7930918707438073,0.7083333333333334,0.8095238095238095,0.6296296296296297,0.8518518518518519,0.8395061728395061
16,0.6481481481481481,0.7054647893080657,0.5957446808510639,0.7,0.5185185185185185,0.7777777777777778,0.7338820301783264
17,0.7692307692307693,0.8902738001458514,0.7142857142857143,0.9375,0.5769230769230769,0.9615384615384616,0.893491124260355
18,0.75,0.8172472734688958,0.7547169811320754,0.7407407407407407,0.7692307692307693,0.7307692307692307,0.812130177514793
19,0.7692307692307693,0.9076391668303433,0.76,0.7916666666666666,0.7307692307692307,0.8076923076923077,0.8905325443786982
20,0.7592592592592593,0.798583336331685,0.7346938775510203,0.8181818181818182,0.6666666666666666,0.8518518518518519,0.7846364883401921
21,0.7777777777777778,0.9162946519990236,0.7391304347826088,0.8947368421052632,0.6296296296296297,0.9259259259259259,0.9163237311385459
22,0.8333333333333334,0.8848487965328575,0.823529411764706,0.875,0.7777777777777778,0.8888888888888888,0.8930041152263375
23,0.7777777777777778,0.8581154666001443,0.75,0.8571428571428571,0.6666666666666666,0.8888888888888888,0.887517146776406
24,0.6851851851851852,0.8397847409020169,0.6382978723404256,0.75,0.5555555555555556,0.8148148148148148,0.8436213991769548
25,0.6481481481481481,0.7751050925805631,0.6122448979591836,0.6818181818181818,0.5555555555555556,0.7407407407407407,0.7791495198902606
26,0.6666666666666666,0.7903517002590696,0.6538461538461539,0.68,0.6296296296296297,0.7037037037037037,0.7846364883401921
27,0.6923076923076923,0.8054885017394006,0.6,0.8571428571428571,0.46153846153846156,0.9230769230769231,0.7603550295857988
28,0.7692307692307693,0.7675111382863347,0.76,0.7916666666666666,0.7307692307692307,0.8076923076923077,0.8210059171597633
29,0.7692307692307693,0.8590101929964008,0.7142857142857143,0.9375,0.5769230769230769,0.9615384615384616,0.8550295857988165
30,0.7962962962962963,0.9064264752569218,0.7755102040816326,0.8636363636363636,0.7037037037037037,0.8888888888888888,0.9108367626886145
31,0.8333333333333334,0.9149300439930286,0.823529411764706,0.875,0.7777777777777778,0.8888888888888888,0.9163237311385459
32,0.7037037037037037,0.826272728105379,0.6363636363636364,0.8235294117647058,0.5185185185185185,0.8888888888888888,0.8244170096021948
33,0.8148148148148148,0.895181862200511,0.7916666666666667,0.9047619047619048,0.7037037037037037,0.9259259259259259,0.8751714677640604
34,0.6666666666666666,0.7234452398525038,0.6250000000000001,0.7142857142857143,0.5555555555555556,0.7777777777777778,0.7750342935528121
35,0.7777777777777778,0.8549495857946712,0.7692307692307692,0.8,0.7407407407407407,0.8148148148148148,0.8696844993141288
36,0.6851851851851852,0.8002414368931954,0.6382978723404256,0.75,0.5555555555555556,0.8148148148148148,0.803840877914952
37,0.6730769230769231,0.748394864123672,0.6382978723404256,0.7142857142857143,0.5769230769230769,0.7692307692307693,0.775887573964497
38,0.7692307692307693,0.8768626534350514,0.7272727272727274,0.8888888888888888,0.6153846153846154,0.9230769230769231,0.8594674556213018
39,0.6153846153846154,0.7178234810747692,0.5833333333333334,0.6363636363636364,0.5384615384615384,0.6923076923076923,0.720414201183432
40,0.6851851851851852,0.6874973185804188,0.6666666666666667,0.7083333333333334,0.6296296296296297,0.7407407407407407,0.7421124828532235
41,0.7222222222222222,0.7582320113516499,0.6666666666666667,0.8333333333333334,0.5555555555555556,0.8888888888888888,0.8168724279835391
42,0.6666666666666666,0.8320439471413674,0.6250000000000001,0.7142857142857143,0.5555555555555556,0.7777777777777778,0.8093278463648834
43,0.7962962962962963,0.7986331497658561,0.7843137254901961,0.8333333333333334,0.7407407407407407,0.8518518518518519,0.8148148148148148
