,accuracy,average_precision,f1,ppv,tpr,tnr,roc_auc
0,0.5,0.584259770245245,0.666666666666667,0.5,1,0,0.593964334705075
1,0.5,0.704710628286963,0.666666666666667,0.5,1,0,0.626886145404664
2,0.5,0.591042575576571,0.666666666666667,0.5,1,0,0.5960219478738
3,0.5,0.704472543553587,0.666666666666667,0.5,1,0,0.606310013717421
4,0.5,0.648064951092676,0.666666666666667,0.5,1,0,0.640603566529492
5,0.5,0.782356840714552,0.666666666666667,0.5,1,0,0.716735253772291
6,0.5,0.673001381821552,0.666666666666667,0.5,1,0,0.576131687242798
7,0.5,0.711267369366529,0.666666666666667,0.5,1,0,0.60207100591716
8,0.480769230769231,0.763475569230699,0.649350649350649,0.490196078431373,0.961538461538462,0,0.649408284023669
9,0.5,0.578522023100577,0.666666666666667,0.5,1,0,0.548816568047337
10,0.5,0.753214584168151,0.666666666666667,0.5,1,0,0.743484224965706
11,0.5,0.564173022797215,0.666666666666667,0.5,1,0,0.525377229080933
12,0.5,0.767269851447596,0.666666666666667,0.5,1,0,0.790123456790123
13,0.5,0.6813432956143,0.666666666666667,0.5,1,0,0.618655692729767
14,0.5,0.680595400933616,0.666666666666667,0.5,1,0,0.596707818930041
15,0.5,0.506189762398774,0.666666666666667,0.5,1,0,0.474622770919067
16,0.5,0.627469595984724,0.666666666666667,0.5,1,0,0.539094650205761
17,0.5,0.684506030934073,0.666666666666667,0.5,1,0,0.633136094674556
18,0.5,0.76892978699459,0.666666666666667,0.5,1,0,0.710798816568047
19,0.480769230769231,0.591727747480283,0.649350649350649,0.490196078431373,0.961538461538462,0,0.522189349112426
20,0.5,0.704637368842656,0.666666666666667,0.5,1,0,0.722908093278464
21,0.5,0.553695851596604,0.666666666666667,0.5,1,0,0.489026063100137
22,0.5,0.670616917393655,0.666666666666667,0.5,1,0,0.628257887517147
23,0.5,0.665577004882149,0.666666666666667,0.5,1,0,0.637860082304527
24,0.5,0.657640490846827,0.666666666666667,0.5,1,0,0.582990397805213
25,0.5,0.627281770308568,0.666666666666667,0.5,1,0,0.498628257887517
26,0.5,0.75943886137682,0.666666666666667,0.5,1,0,0.770919067215363
27,0.480769230769231,0.617044173258128,0.649350649350649,0.490196078431373,0.961538461538462,0,0.529585798816568
28,0.5,0.663352931021614,0.666666666666667,0.5,1,0,0.615384615384615
29,0.480769230769231,0.733518546537323,0.649350649350649,0.490196078431373,0.961538461538462,0,0.681952662721893
30,0.5,0.702644380823349,0.666666666666667,0.5,1,0,0.657750342935528
31,0.5,0.688724782400449,0.666666666666667,0.5,1,0,0.657750342935528
32,0.5,0.564528039165676,0.666666666666667,0.5,1,0,0.539094650205761
33,0.5,0.822464147088556,0.666666666666667,0.5,1,0,0.770233196159122
34,0.5,0.638867806500464,0.666666666666667,0.5,1,0,0.585048010973937
35,0.5,0.657464454986495,0.666666666666667,0.5,1,0,0.636488340192044
36,0.5,0.651250610021106,0.666666666666667,0.5,1,0,0.551440329218107
37,0.5,0.513279317074344,0.666666666666667,0.5,1,0,0.451183431952663
38,0.480769230769231,0.745125912789756,0.649350649350649,0.490196078431373,0.961538461538462,0,0.665680473372781
39,0.5,0.709904333339326,0.666666666666667,0.5,1,0,0.692307692307692
40,0.5,0.626510739299599,0.666666666666667,0.5,1,0,0.600137174211248
41,0.5,0.568881934418559,0.666666666666667,0.5,1,0,0.603566529492456
42,0.5,0.63069816163928,0.666666666666667,0.5,1,0,0.593964334705075
43,0.5,0.752378830161693,0.666666666666667,0.5,1,0,0.648834019204389
44,0.5,0.675717675462983,0.666666666666667,0.5,1,0,0.628943758573388
45,0.5,0.592491872355557,0.666666666666667,0.5,1,0,0.641975308641975
46,0.5,0.71429398111914,0.666666666666667,0.5,1,0,0.62962962962963
47,0.5,0.767454554055408,0.666666666666667,0.5,1,0,0.67603550295858
48,0.5,0.630624431299181,0.666666666666667,0.5,1,0,0.548816568047337
49,0.480769230769231,0.686498007816198,0.649350649350649,0.490196078431373,0.961538461538462,0,0.631656804733728
mean,0.497692307692308,0.667184012392475,0.664588744588745,0.498823529411765,0.995384615384615,0,0.617583765553851
std,0.006312706204987,0.072918127781422,0.005684168357737,0.003218242379013,0.012625412409974,0,0.075956128699356
